,0,31,59,90,120,151,181,212,243,273,304,334
0,124.55,110.18,104.78,113.5,125.65,193.08,315.7,396.95,328.85,210.6,162.97,133.15
1,106.92,102.23,105.9,104.23,114.25,184.78,315.72,401.28,321.43,201.32,153.18,116.17
2,119.7,103.08,105.85,117.67,131.75,188.4,302.88,394.0,336.95,216.7,158.17,122.23
3,116.85,101.55,101.27,110.13,117.95,162.07,258.43,317.73,269.18,194.78,154.78,116.35
4,101.02,87.5,85.28,103.77,114.58,152.27,254.8,337.83,279.73,166.12,119.33,97.88
5,115.08,93.08,92.92,110.43,128.67,176.08,258.03,308.3,256.85,174.6,137.72,113.9
6,119.07,98.57,93.72,105.87,124.65,180.0,299.13,378.78,312.8,194.52,137.97,111.78
7,118.57,97.28,90.53,103.43,117.75,185.1,308.6,390.22,325.98,213.57,157.87,117.05
8,115.28,99.33,103.22,107.9,109.05,172.47,287.07,360.1,304.12,194.92,142.4,108.5
9,111.12,97.88,100.43,120.52,129.32,190.62,325.93,422.82,352.95,210.28,149.3,111.42
10,107.78,101.85,108.83,124.8,140.08,193.48,306.22,391.8,321.17,207.97,171.55,131.3
11,118.4,93.33,96.15,104.42,111.88,176.13,298.22,372.3,306.78,193.73,142.83,112.1
12,115.77,100.13,105.42,112.4,113.48,166.25,266.12,318.52,272.05,191.78,138.15,99.45
13,119.05,107.17,106.4,116.73,134.38,193.22,280.62,339.53,307.1,224.55,181.73,144.4
14,119.33,99.15,92.4,108.85,129.82,190.48,295.07,360.13,302.32,198.77,147.88,118.4
15,113.52,98.25,92.15,108.62,123.58,172.45,276.87,340.75,288.83,193.77,138.38,109.82
16,117.62,101.73,105.53,120.25,136.93,182.83,267.15,334.87,281.02,196.0,162.35,119.17
17,109.45,91.32,86.12,103.85,124.7,185.22,272.35,315.9,271.23,195.17,150.3,108.53
18,92.62,81.83,83.75,99.97,119.05,174.37,279.18,344.22,285.92,177.02,129.02,109.38
19,91.9,79.57,81.4,97.7,118.13,158.63,246.35,322.87,273.78,180.55,138.68,109.45
20,116.45,93.68,93.2,120.6,138.43,181.33,293.5,374.08,308.72,195.32,152.83,125.85
